title,location,rental_type,feat_amenities,rates,host,same_area,host_location,host_reviews,rental_age,rental_reviews,Superhost
Dreamy Tropical Tree House,Big Island,Island,12,,Hosted by Kayte,N,"Twin Falls, ID ·",2,3,632,Y
Kealakekua Bay Bali Cottage -steps from Bay,Big Island,Entire guesthouse,28,203,Hosted by Karen,Y,"Big Island, HI ·",480,8,474,Y
Adorable Garden Gingerbread House,Maui,Entire cottage,,238,Hosted by Eve,Y,"Makawao, HI ·",366,7,283,Y
Aloha Nature Lovers,Big Island,Entire cabin,,93,Hosted by Keith,Y,"Kailua-Kona, HI ·",508,8,352,Y
Cozy apartment in Holualoa,Big Island,Entire house,25,117,Hosted by Karoline,Y,"Hōlualoa, HI ·",306,6,305,Y
Cozy Ohana/Small apartment,Big Island,Entire guesthouse,13,62,Hosted by Tiffany And Larry,Y,"Kealakekua, HI ·",345,4,340,N
Treehouse at Kilauea Volcano,Big Island,Treehouse,22,,Hosted by Mahinui,Y,"Volcano, HI ·",424,9,390,Y
Luxury Studio w/ Private Lanai,Big Island,Entire apartment,,,Hosted by Carolyn,Y,"Volcano, HI ·",425,5,,
Bayview Condo!,Oahu,Entire apartment,38,80,Hosted by Donald,Y,"Kaneohe, HI ·",104,3,102,N
ABSOLUTELY OCEAN FRONT CONDO,Big Island,Entire condominium,,197,Hosted by Jerry And Alice,Y,"Kailua-Kona, HI ·",507,6,239,Y
Sunset Beach Treehouse Bungalow !!!,Oahu,Treehouse,,,Hosted by John,Y,"Oahu, HI ·",823,9,,
Eco Hale Hawaii in the Rainforest Lots Of Aloha,Big Island,Entire cabin,26,88,Hosted by Kaeo & Karl,Y,"Hawaii Island, HI ·",309,6,308,Y
KING SIZE BED STUDIO JUST STEPS TO THE BEACH,Oahu,Entire condominium,26,147,Hosted by Elisabet,Y,"Hawaii, HI ·",1365,7,121,Y
Ocean View 1BR @ The Shores of Maui upscale style,Maui,Entire condominium,38,227,Hosted by Thomas,Y,"Hawaii, HI ·",417,4,227,Y
Beautiful Condo in Downtown Kona,Big Island,Entire condominium,21,134,Hosted by Edward,Y,"Kailua-Kona, HI ·",1001,6,381,Y
Adventure Treehouse - As featured on HGTV!,Big Island,Tiny house,21,140,Hosted by Melissa,N,"Bountiful, UT ·",252,2,250,Y
Front row seats to the lava flow!,Big Island,Tiny house,,86,Hosted by Sean & Zorro,Y,Kalapana ( LAVA tour guide) and Kapoho ( Snorkel tour guide) BIG ISLAND ·,772,5,358,N
Mokuna Tree House,Big Island,Treehouse,,157,Hosted by Ekaterina,N,"Las Vegas, NV ·",300,5,236,Y
Hawaiian style Indoor outdoor suite,Oahu,Entire house,,160,Hosted by Cara,Y,"Honolulu, HI ·",151,6,151,N
Spacious Studio By Beach & Hikes,Oahu,Entire guest suite,,99,Hosted by Damaris,Y,"Hauula, HI ·",323,5,,N
Modern Waikiki Studio 1/2 block from the beach,Oahu,Entire condominium,25,163,Hosted by Jiyoon,Y,"Honolulu, HI ·",182,3,182,Y
"Cabin\ Bali Hut, tropical paradise",Big Island,Hut,,55,Hosted by Louisa,Y,"Pāhoa, HI ·",285,7,279,Y
HawaiianJungleHangout,Big Island,Entire house,,95,Hosted by Liz,N,"San Francisco, CA ·",412,9,269,N
Cute Kahala Cottage - Walk to Beach,Oahu,Entire guesthouse,21,179,Hosted by Laurens,Y,"Honolulu, HI ·",301,8,160,N
#Private Studio - Waikiki Dream,Oahu,Entire condominium,25,124,Hosted by Dana,Y,"Honolulu, HI ·",589,5,592,Y
Aeolani - Panoramic Views / Pool,Big Island,Entire house,,187,Hosted by Steve,Y,"Kailua-Kona, HI ·",469,5,271,Y
MAUI DIRECT OCEAN FRONT FOR REAL! Super Private!,Maui,Entire house,17,278,Hosted by Jay,N,"Los Angeles, CA ·",1920,7,317,Y
☆Adventure Awaits You in the Trees☆,Big Island,Treehouse,,159,Hosted by Levi,Y,"Kihei, HI ·",252,4,245,Y
Honu Ohana - walk to White Sands,Big Island,Entire guest suite,31,99,Hosted by Liz And Robert,Y,"Kailua-Kona, HI ·",261,6,253,Y
Waikiki Renovated Modern Studio,Oahu,Entire apartment,36,110,Hosted by Ash,Y,"Honolulu, HI ·",433,6,198,Y
Beautiful yurt in tropical paradise,Big Island,Yurt,,53,Hosted by Rachel,Y,"Keaau, HI ·",474,4,285,Y
Ocean View Studio in Waikiki,Oahu,Entire apartment,27,190,Hosted by Nami,Y,"Honolulu, HI ·",304,2,133,Y
Suite By The Sea-Steps to Waikiki Beach,Oahu,Entire apartment,,154,Hosted by Evan,Y,"Honolulu, HI ·",1144,8,217,N
Renovated Cozy Studio with Great View,Oahu,Entire apartment,33,141,Hosted by Ash,Y,"Honolulu, HI ·",433,6,233,Y
THE LOTUS GARDEN-Lo'i Apartment/ Downtown Hilo,Big Island,Entire apartment,14,160,Hosted by Megan,Y,"Hilo, HI ·",1819,7,496,Y
Newly Remodeled Private Farm Studio W/ Ocean View,Big Island,Entire guesthouse,,120,Hosted by Jeff,Y,"Kailua-Kona, HI ·",354,5,266,Y
Stay in the Heart of Waikiki,Oahu,Entire apartment,29,119,Hosted by C & C,Y,"Honolulu, HI ·",694,6,119,Y
Lovely Guest Suite - no cleaning fee,Big Island,Entire guest suite,,85,Hosted by Maria And Steve,Y,"Hilo, HI ·",558,6,333,Y
Avocado Tree-House near Pahoa,Big Island,Entire bungalow,,100,Hosted by Elvira And Hugh,Y,"Pāhoa, HI ·",263,6,219,Y
Lizard Lookout,Big Island,Entire bungalow,,90,Hosted by Elizabeth,Y,"Hawaii, HI ·",380,8,250,N
Lovely Ocean and Beach views Studio,Molokai,Entire apartment,40,134,Hosted by Michael,N,"Alaska, AK ·",240,5,165,N
"Amazing Paradise Encounter, Hilo - Volcano",Big Island,Entire house,48,198,Hosted by Morris & Yuka,Y,"Keaau, HI ·",426,7,428,Y
Gorgeous Tropical Kihei Resort!,Maui,Entire condominium,27,184,Hosted by Katie,N,"California, CA ·",147,3,147,N
Beach Retreat,Oahu,Entire guesthouse,22,174,Hosted by Alicia,Y,"Hawaii, HI ·",347,3,190,Y
THE LOTUS GARDEN-Attic Room/Downtown Hilo,Big Island,Room in hotel,,,Hosted by Megan,Y,"Hilo, HI ·",1819,7,460,Y
"Mangolay, a Garden of Eden in Puna",Big Island,Private room in guesthouse,,78,Hosted by Paul,Y,"Pāhoa, HI ·",281,6,273,Y
.Volcano Park House,Big Island,Entire apartment,22,138,Hosted by Ron,Y,"Hilo, HI ·",357,4,344,Y
Downtown Kona Plaza Gem,Big Island,Entire condominium,,145,Hosted by Edward,Y,"Kailua-Kona, HI ·",1001,6,345,Y
Coastline Getaway for 2,Oahu,Entire apartment,21,,Hosted by The Turner Family,Y,"Ewa Beach, HI ·",717,7,,
Ocean View Deluxe Corner Unit,Oahu,Entire condominium,,163,Hosted by Hide,Y,"Honolulu, HI ·",791,4,183,N
Ocean View Deluxe Corner Unit,Oahu,Entire condominium,,,Hosted by Hide,Y,"Honolulu, HI ·",791,4,,
2 BR. 5 MINS. DR. TO WAIKIKI BEACH,Oahu,Entire house,,195,Hosted by Sonia & James,Y,"Honolulu, HI ·",230,6,227,N
Vintage Modern By the Beach,Big Island,Private room in house,,63,Hosted by Dan,Y,"Kailua-Kona, HI ·",13,5,362,Y
Sea Cliff House - Ocean front newly remodeled,Oahu,Entire townhouse,21,,Hosted by Geoff,Y,"Laie, HI ·",700,7,179,Y
PRIVATE 1 BEDROOM BEAUTIFUL BEACH FRONT,Oahu,Entire guesthouse,,,Hosted by J.,Y,"Laie, HI ·",322,5,,
Charming Beach #1 Cabana Room Single,Kauai,Private room in apartment,,71,Hosted by Solveig,Y,"Kauai, HI ·",514,5,250,N
Romantic & Relaxing Poolhouse in Waikoloa Village,Big Island,Entire guesthouse,34,198,Hosted by Bob And Leesa,Y,"Waikoloa Village, HI ·",259,6,255,Y
"Sunrise and surf,Close to Hilo",Big Island,Private room in house,,80,Hosted by Jeremiah,Y,"Big island, HI ·",278,6,263,Y
Namaste Estates,Big Island,Entire cottage,,94,Hosted by Tom,Y,"Big Island of Hawaii, HI ·",257,4,256,Y
Spacious Condo/heart of Waikiki beach/FREE PARKIN,Oahu,Entire apartment,39,190,Hosted by Saichi,Y,"Honolulu, HI ·",913,5,253,N
Heavenly Hawaii 4 Bed Ocean View⛵️,Oahu,Entire loft,,218,Hosted by Penny & Cannon,Y,"Hawaii, HI ·",285,5,96,Y
Romantic Treehouse in the Hawaiian Rainforest.,Big Island,Treehouse,24,185,Hosted by Shannon,N,"California, CA ·",221,6,220,Y
"In The Heart of Waikiki,Quiet,Cozy and Clean",Oahu,Entire apartment,,,Hosted by Frank,Y,"Honolulu, HI ·",118,2,,
Sweet Studio surrounded by Nature,Oahu,Entire guesthouse,25,143,Hosted by Aubrey,Y,"Honolulu, HI ·",246,7,227,Y
Country House on orchard farm,Oahu,Entire cottage,,258,Hosted by Daniel,Y,"Haleiwa, HI ·",170,6,98,N
THE HAPPIEST SPACE - WAIKIKI SMILES,Oahu,Entire apartment,23,137,Hosted by Kurt,Y,"Honolulu, HI ·",929,9,266,Y
Kealakekua Bay Cottage With A View!,Big Island,Entire cabin,,163,Hosted by Peter And Barbara,Y,"Big Island or Hawaii, HI ·",368,7,258,Y
Sunset Beach Temple Treehouse !!!,Oahu,Treehouse,,,Hosted by John,Y,"Oahu, HI ·",823,9,,
**MAGICAL LAVA TEMPLE with EPIC Volcano Views**,Big Island,Entire cottage,30,144,Hosted by Jade,Y,"Big Island HAWAII , HI ·",830,9,295,Y
"Artistic Cabin, In the Forest!",Big Island,Entire cabin,19,90,Hosted by Anzu,Y,"Hilo, HI ·",381,6,215,Y
"Ocean view, Amazing Pool, Free wifi & Parking",Kauai,Entire apartment,32,194,Hosted by Mary,Y,"Kauai Hawaii, HI ·",349,6,99,Y
~Seaside to Summit~Kona Hawaii USA~,Big Island,Entire guest suite,,193,Hosted by Trish,Y,"Kailua-Kona, HI ·",195,8,193,Y
"""HANALEI GETAWAY"" SPECTACULAR VIEWS HBR 8131",Kauai,Entire condominium,28,247,Hosted by Wade,N,"Huntington Beach, CA ·",893,9,84,N
Steps to Charley Young Beach Apt #6,Maui,Entire apartment,29,181,Hosted by Thomas,Y,"Hawaii, HI ·",908,3,216,Y
