title,location,rental_type,feat_amenities,host,same_area,host_location,host_reviews,rental_age
Dreamy Tropical Tree House,Big Island,Island,12,Hosted by Kayte,N,"Twin Falls, ID ·",2,3
Kealakekua Bay Bali Cottage -steps from Bay,Big Island,Entire guesthouse,28,Hosted by Karen,Y,"Big Island, HI ·",480,8
Adorable Garden Gingerbread House,Maui,Entire cottage,,Hosted by Eve,Y,"Makawao, HI ·",366,7
Aloha Nature Lovers,Big Island,Entire cabin,,Hosted by Keith,Y,"Kailua-Kona, HI ·",508,8
Cozy apartment in Holualoa,Big Island,Entire house,25,Hosted by Karoline,Y,"Hōlualoa, HI ·",306,6
Cozy Ohana/Small apartment,Big Island,Entire guesthouse,13,Hosted by Tiffany And Larry,Y,"Kealakekua, HI ·",345,4
Treehouse at Kilauea Volcano,Big Island,Treehouse,22,Hosted by Mahinui,Y,"Volcano, HI ·",424,9
Luxury Studio w/ Private Lanai,Big Island,Entire apartment,,Hosted by Carolyn,Y,"Volcano, HI ·",425,5
Bayview Condo!,Oahu,Entire apartment,38,Hosted by Donald,Y,"Kaneohe, HI ·",104,3
ABSOLUTELY OCEAN FRONT CONDO,Big Island,Entire condominium,,Hosted by Jerry And Alice,Y,"Kailua-Kona, HI ·",507,6
Sunset Beach Treehouse Bungalow !!!,Oahu,Treehouse,,Hosted by John,Y,"Oahu, HI ·",823,9
Eco Hale Hawaii in the Rainforest Lots Of Aloha,Big Island,Entire cabin,26,Hosted by Kaeo & Karl,Y,"Hawaii Island, HI ·",309,6
KING SIZE BED STUDIO JUST STEPS TO THE BEACH,Oahu,Entire condominium,26,Hosted by Elisabet,Y,"Hawaii, HI ·",1365,7
Ocean View 1BR @ The Shores of Maui upscale style,Maui,Entire condominium,38,Hosted by Thomas,Y,"Hawaii, HI ·",417,4
Beautiful Condo in Downtown Kona,Big Island,Entire condominium,21,Hosted by Edward,Y,"Kailua-Kona, HI ·",1001,6
Adventure Treehouse - As featured on HGTV!,Big Island,Tiny house,21,Hosted by Melissa,N,"Bountiful, UT ·",252,2
Front row seats to the lava flow!,Big Island,Tiny house,,Hosted by Sean & Zorro,Y,Kalapana ( LAVA tour guide) and Kapoho ( Snorkel tour guide) BIG ISLAND ·,772,5
Mokuna Tree House,Big Island,Treehouse,,Hosted by Ekaterina,N,"Las Vegas, NV ·",300,5
Hawaiian style Indoor outdoor suite,Oahu,Entire house,,Hosted by Cara,Y,"Honolulu, HI ·",151,6
Spacious Studio By Beach & Hikes,Oahu,Entire guest suite,,Hosted by Damaris,Y,"Hauula, HI ·",323,5
Modern Waikiki Studio 1/2 block from the beach,Oahu,Entire condominium,25,Hosted by Jiyoon,Y,"Honolulu, HI ·",182,3
